Name,Attendees,Date,Event type,Host,POAP admin link,Recording (Video)
"Dream DAO ""Learning Together"" #3",,"January 22, 2022",Learning Together,Ale + Gary,https://app.poap.xyz/admin/events/dream-dao-learning-together-3-2022,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/zoom_0%201.mp4
"Dream DAO ""Learning Together"" #1",,"December 23, 2021",Learning Together,Gary + Chabu,https://app.poap.xyz/admin/events/dream-dao-learning-together-1-2021,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/GMT20211223-153213_Recording_1280x720.mp4
Dream DAO Liftoff,,"January 8, 2022",One-off Events,"Gary, Madison helping note-take and record, need another recorder too",https://app.poap.xyz/admin/events/dream-dao-founding-voting-member-liftoff-attendance-2022,https://share.descript.com/view/CdaVsjNfrYY
Dream DAO Hot Pot Hangout,,"December 11, 2021",In-Person Social Event,Gary,https://app.poap.xyz/admin/events/dream-dao-hotpot-hangout-1-2022,
"Meet, Greet, + Set Up Your Wallets :)",,"December 27, 2021",One-off Training,QZ,https://app.poap.xyz/admin/events/dream-dao-learning-together-1-2021,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/GMT20211227-170259_Recording_1920x1080.mp4
"Dream DAO ""Learning Together"" #2",,"January 12, 2022",Learning Together,Gary + Tim,https://app.poap.xyz/admin/events/dream-dao-learning-together-2-2022,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/zoom_0%202.mp4
First Info Session (the Kickoff),,"November 10, 2021",,Gary,,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/Dream_DAO_-_First_Info_Session.mp4
"Dream DAO Design Session #2: Voting and Membership ",,"November 27, 2021",Design Jam,Gary,,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/GMT20211120-150440_Recording_1760x900.mp4
"Dream DAO Design Session #1: DAO Community Members ",,"October 27, 2021",Design Jam,Gary,,
Community Building Working Group Call,,"May 1, 2022 7:00 AM (GMT+5:30)",,Karl and Aishah,,
Dream DAO Learning Together #25: “Web0 to Web3 | Understanding the Evolution of the Internet”,,"May 5, 2022",Learning Together,David Cooperstein,https://app.poap.xyz/admin/events/dream-dao-learning-together-25-web0-to-web3-understanding-the-evolution-of-the-internet-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/61f92d36-9cbe-4da7-8456-4cc2aed47ede
Dream DAO Learning Together #26: “Scott Moore AMA”,,"May 12, 2022",Learning Together,Scott Moore (Ceresstation),https://app.poap.xyz/admin/events/dream-dao-learning-together-26-scott-moore-ama-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/e04123c9-e36a-40ed-a8e7-35ff25d292d3
Dream DAO Learning Together #27: “Imagining a New Climate Narrative”,,"May 21, 2022",Learning Together,Oliver Yehlik,https://app.poap.xyz/admin/events/dream-dao-learning-together-27-imagining-a-new-climate-narrative-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/beb9da68-23c0-40ac-a87e-76b838843e85
,,,,,,
DAO wide Community Building Design Jam,,"May 22, 2022",Design Jam,"@Arman/Karl :),@Gary Sheng",,
Dream DAO Learning Together #28: “Ethereum as Infinite Garden | Discovering Your ‘Why’”,,"May 28, 2022",Learning Together,Aya Miyaguchi,https://app.poap.xyz/admin/events/dream-dao-learning-together-28-ethereum-as-infinite-garden-discovering-your-why-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/5fa9787e-c623-47fa-b614-08cfabe24cd3
Dream DAO Learning Together #29: “Cohere”,,"June 4, 2022",Learning Together,Marcus,https://app.poap.xyz/admin/events/dream-dao-learning-together-29-cohere-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/74934771-3f1b-4a05-b480-7fabfe290a54
Dream DAO Learning Together #30: “Blockchain Regulation”,,"June 6, 2022",Learning Together,Michelle Neitz,https://app.poap.xyz/admin/events/dream-dao-learning-together-30-blockchain-regulation-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/4b273ae7-f2f4-4afb-88d1-2ddbb58baf30
Dream DAO Learning Together #32: “The Bounty for Basura”,,"June 16, 2022",Learning Together,,https://app.poap.xyz/admin/events/dream-dao-learning-together-32-the-bounty-for-basura-2022,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/94d29681-f1e0-4da1-9a0b-54cef85f2d79.mp4
Dream DAO Learning Together #31: “Art and Web3”,,"June 14, 2022",Learning Together,Colton Orr,https://app.poap.xyz/admin/events/dream-dao-learning-together-31-art-and-web3-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/c1db1796-70de-4d92-b3f0-3486960342c6
Dream DAO Learning Together #33: “Navigating Your Career in Web3”,,"June 18, 2022",Learning Together,Kate Eldaly,https://app.poap.xyz/admin/events/dream-dao-learning-together-33-navigating-your-career-in-web3-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/460cf7e7-a859-4dc4-9d78-5999120cebfd
Dream DAO Learning Together #34: “Web3 and Financial Health”,,"June 22, 2022",Learning Together,Maia Monell (maia@modapartnersllc.com),https://app.poap.xyz/admin/events/dream-dao-learning-together-34-web3-and-financial-health-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/3da0d9cd-cf88-4a5b-8561-849e5c1759ea
"Dream DAO Learning Together #35: “A Solarpunk Future | Learnings From Cohousing and Cooperative Housing for DAOs” ",,"June 25, 2022",Learning Together,Clara Gromaches,https://app.poap.xyz/admin/events/dream-dao-learning-together-35-a-solarpunk-future-learnings-from-cohousing-and-cooperative-housing-for-daos-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/e45e08f6-05ae-49c7-933c-6f9e6682d50e
Dream DAO Learning Together #36: “Immanent Metaphysics”,,"July 2, 2022",Learning Together,Jared (kapslap.eth),https://app.poap.xyz/admin/events/dream-dao-learning-together-36-immanent-metaphysics-2022,https://drive.google.com/file/d/1X2H63aTWXdDAtn-ebbnglAqNbcnHxQXp/view?usp=sharing
Dream DAO Learning Together #37: “Wallets and ENS”,,"July 11, 2022",Learning Together,QZ + Jae-Hee,,https://app.butter.us/recording/Dream-DAO-Learning-Together/a78c2e66-f431-4af3-8001-96b512572610
navigating a caree,,,,,,
Dream DAO Learning Together #38: “ReFi | The Intersection of Climate & Crypto”,,"July 20, 2022",Learning Together,Helena Merk,https://app.poap.xyz/admin/events/dream-dao-learning-together-38-refi-the-intersection-of-climate-crypto-2022,
Dream DAO Learning Together #39: “Local Currencies”,,"July 21, 2022",Learning Together,Josephine Watson,https://app.poap.xyz/admin/events/dream-dao-learning-together-39-local-currencies-2022,
Dream DAO Learning Together #40: “DAO Champions”,,"July 28, 2022",Learning Together,Safder Raza + Champions,https://app.poap.xyz/admin/events/dream-dao-learning-together-40-dao-champions-2022,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/dream-dao-learning-together-20220728-2201.mp4
SEASON #2 KICKOFF,,,,,,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/dream-dao-kickoff-20220726-2037.webm
Dream DAO Learning Together #41: “Raiz Vertical Farms”,,"July 30, 2022",Learning Together,Dora,https://app.poap.xyz/admin/events/dream-dao-learning-together-41-raiz-vertical-farms-2022,
Dream DAO Learning Together #42: “Web3 x Social Impact Fundamentals”,,"August 9, 2022",Learning Together,Safder Raza + Builders,https://app.poap.xyz/admin/events/dream-dao-learning-together-42-web3-x-social-impact-fundamentals-2022,
Dream DAO Season 2 Builder Session,,"August 14, 2022",One-off Events,Prabhat,,https://drive.google.com/file/d/1RElE6_ug61efHAZRpbdPmWwB0qaBdM7S/view?usp=sharing
"Dream DAO Learning Together #43: “Impact, SDGs, & Web3”",,"August 16, 2022",Learning Together,Or Katzman,https://app.poap.xyz/admin/events/dream-dao-learning-together-43-impact-sdgs-web3-2022,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/dream-dao-learning-together-20220817-0001.mp4
Dream DAO Learning Together #44: “Web3 in the Field”,,"August 24, 2022",Learning Together,Angelo Kalaw,https://app.poap.xyz/admin/events/dream-dao-learning-together-44-web3-in-the-field-2022,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/dream-dao-learning-together-20220824-1200.mp4
Dream DAO Learning Together #45: “DeSci with Special Guests”,,"August 27, 2022",Learning Together,"PlantBoi | PLANTGANG, Sandra A",https://app.poap.xyz/admin/events/dream-dao-learning-together-45-desci-with-special-guests-2022,https://app.butter.us/recording/9cb80a0a-b208-4dc4-8637-2ceb6dd29405
"Dream DAO Learning Together #46: “Climate Narrative Through Art” ",,"August 29, 2022",Learning Together,Marco,https://app.poap.xyz/admin/events/dream-dao-learning-together-46-climate-narrative-through-art-2022,
Dream DAO Learning Together #47: “Blockchain and Token Evolution”,,"September 1, 2022",Learning Together,Branson Lee,https://app.poap.xyz/admin/events/dream-dao-learning-together-47-blockchain-and-token-evolution-2022,https://app.butter.us/recording/a8231a32-eb93-45fe-ac12-08455ac22f22
Dream DAO Learning Together #48: “RADAR”,,"September 4, 2022",Learning Together,Fancy,https://app.poap.xyz/admin/events/dream-dao-learning-together-48-radar-2022,https://app.butter.us/recording/5f77b966-07f9-46ce-8ae6-df98269d50d8
Dream DAO Learning Together #49: “LatAm”,,"September 13, 2022",Learning Together,Camila Rioja,https://app.poap.xyz/admin/events/dream-dao-learning-together-49-latam-2022,
Dream DAO Learning Together #50: “LatAm”,,"September 16, 2022",Learning Together,Camila Rioja,https://app.poap.xyz/admin/events/dream-dao-learning-together-50-latam-2022,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/Recording_.mp4
Dream DAO Learning Together #51: “Payment Systems and Web3”,,"September 17, 2022",Learning Together,Verina Youssef,https://app.poap.xyz/admin/events/dream-dao-learning-together-51-payment-systems-and-web3-2022,https://app.butter.us/recording/764b2136-6a38-49be-a1ea-81ff5e99ac55
Dream DAO Learning Together #52: “NFT Ecosystem at Celo”,,"September 22, 2022",Learning Together,Mashiat Mutmainnah,https://app.poap.xyz/admin/events/dream-dao-learning-together-52-nft-ecosystem-at-celo-2022,https://app.butter.us/recording/1776a0d8-d6f2-4be4-b454-a8b3fff39e52
Dream DAO Learning Together #53: “Humanity Cash”,,"September 27, 2022",Learning Together,Fennie Wang,https://app.poap.xyz/admin/events/dream-dao-learning-together-53-humanity-cash-undefined,
" Dream DAO Learning Together #54: “Unearthing Common Ground”",,"October 1, 2022",Learning Together,Charlie Fisher,https://app.poap.xyz/admin/events/dream-dao-learning-together-54-unearthing-common-ground-undefined,https://app.butter.us/recording/c33ea8ca-f1b5-4e24-98c3-2821e3c3eec5
Dream DAO Learning Together #55: “The Decentralized Mind”,,"October 6, 2022",Learning Together,Jody Weiss,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23553a-the-decentralized-mind-2022,https://app.butter.us/recording/39cf2447-964b-444a-b875-eb1baabe4341
Dream DAO Learning Together #56: “Gitcoin”,,"October 25, 2022",Learning Together,Ben West,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23563a-gitcoin-2022,https://app.butter.us/recording/0a271568-6786-4424-b49f-adc10ce4a96a
Dream DAO Learning Together #57: “Web3 & Education”,,"October 18, 2022",Learning Together,Jomayra Herrera,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23573a-web3-26-education-2022,
Dream DAO Learning Together #58: “The DAO Landscape in 2022”,,"October 22, 2022",Learning Together,Carl + Julia,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23573a-the-dao-landscape-in-2022-2022,https://app.butter.us/recording/c5fdc851-1055-4973-87d6-7eb7a6cd0485
Dream DAO Learning Together #59: “VitaDAO”,,"October 29, 2022",Learning Together,Alex Dobrin,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23593a-vitadao-2022,https://app.butter.us/recording/9f11c0eb-579b-4492-9eae-407e53917289
Dream DAO Learning Together #60: “Regen Network”,,"November 2, 2022",Learning Together,Sarah Baxendell,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23603a-regen-network-2022,
Dream DAO Learning Together #61: “Devcon Discussion”,,"November 5, 2022",Learning Together,Dream DAO Builder Devcon Attendees,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23613a-devcon-discussion-2022,
Dream DAO Learning Together #62: “ReFi in Action”,,"November 19, 2022",Learning Together,Nirvaan Ranganathan,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23623a-refi-in-action-2022,https://app.butter.us/recording/7fca6fec-e1bd-462e-a00f-2f9a43728ee7
Dream DAO Learning Together #63: “Crypto Taxes”,,"December 8, 2022",Learning Together,Zac McClure,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23633a-crypto-taxes-2022,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/dream-dao-learning-together2022-12-090059.mp4
Learning Together #64: “A Year of LTs”,,"December 13, 2022",Learning Together,Nate Van Cleve,,https://app.butter.us/recording/5b6f2655-c08b-4740-8af1-250c52773754
Learning Together #65: “All About Art and NFTs”,,"January 21, 2023",Learning Together,HRTGDESIGN.ETH#1527,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23653a-all-about-art-and-nfts-2023,https://app.butter.us/recording/81330a31-f373-4852-8a7f-d4b1a77f37fe
Learning Together #66: “Networking in Web3”,Madison Adams (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Madison%20Adams%2066847541214e424eaa2f1407001ca128.md),"February 1, 2023",Learning Together,Madison,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23663a-networking-in-web3-2023,https://app.butter.us/recording/bc4bea0e-fc14-4ab6-be7b-591b21c60deb
"Dream DAO Learning Together #67: “Overcoming Impostor Syndrome, Embracing Curiosity, and Other Tools for Success”","Jon Ruth (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Jon%20Ruth%2049aa5b91670d416f98dd4fc058fb13de.md), Valeria Zambrano (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Valeria%20Zambrano%20881d86409e274c9f8856ac2bae843c65.md)","February 7, 2023",Learning Together,Jon,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23673a-overcoming-impostor-syndrome2c-embracing-curiosity2c-and-other-tools-for-success-2023,https://app.butter.us/recording/53c7b9ce-b139-4729-b292-de448c041c7d
https://www.notion.so/cucrew/Learning-Together-66-Networking-in-Web3-5719e4d66d5b4783b223c61bf323a7cc,,,,,,
Dream DAO Season 3 Kickoff Call,,"February 11, 2023",DAO Kickoff Call,Tim and Harry,,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/dream-dao-kickoff2023-02-111300.webm
Learning Together Asynchronous Brainstorm,,,Learning Together,,,
Dream DAO Learning Together #68: “Solarpunk”,"Fernando Cruz (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Fernando%20Cruz%2054e5f6ad195747768e88228cb11be378.md), Joshua Santiago Cruz Pérez (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Joshua%20Santiago%20Cruz%20Pe%CC%81rez%20ad3e7ae4b7754c40b6426f78f129d454.md), Oliver Yehlik (../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/New%20Membership%20Database%20589902ab6b394aa2abb2588fb605bf45/Dream%20DAO%20Voting%20Member%20List%204f24600f5e2c4090a93e01c324cec328/Oliver%20Yehlik%20ba79559495794429bb5e8b57619199e8.md)","February 25, 2023",Learning Together,Oliver Yehlik,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23683a-solarpunk-2023,https://app.butter.us/recording/d47ada1a-ea76-4516-9ade-2ee331fe16d5
